id_mpio,departamento,municipio
50001,Meta,Villavicencio
50006,Meta,Acacías
50110,Meta,Barranca de Upía
50124,Meta,Cabuyaro
50150,Meta,Castilla La Nueva
50223,Meta,Cubarral
50226,Meta,Cumaral
50245,Meta,El Calvario
50251,Meta,El Castillo
50270,Meta,El Dorado
50287,Meta,Fuente de Oro
50313,Meta,Granada
50318,Meta,Guamal
50325,Meta,Mapiripán
50330,Meta,Mesetas
50350,Meta,La Macarena
50370,Meta,Uribe
50400,Meta,Lejanías
50450,Meta,Puerto Concordia
50568,Meta,Puerto Gaitán
50573,Meta,Puerto López
50577,Meta,Puerto Lleras
50590,Meta,Puerto Rico
50606,Meta,Restrepo
50680,Meta,San Carlos de Guaroa
50683,Meta,San Juan de Arama
50686,Meta,San Juanito
50689,Meta,San Martín
50711,Meta,Vistahermosa
81001,Arauca,Arauca
81065,Arauca,Arauquita
81220,Arauca,Cravo Norte
81300,Arauca,Fortul
81591,Arauca,Puerto Rondón
81736,Arauca,Saravena
81794,Arauca,Tame
85001,Casanare,Yopal
85010,Casanare,Aguazul
85015,Casanare,Chámeza
85125,Casanare,Hato Corozal
85136,Casanare,La Salina
85139,Casanare,Maní
85162,Casanare,Monterrey
85225,Casanare,Nunchía
85230,Casanare,Orocué
85250,Casanare,Paz de Ariporo
85263,Casanare,Pore
85279,Casanare,Recetor
85300,Casanare,Sabanalarga
85315,Casanare,Sácama
85325,Casanare,San Luis de Palenque
85400,Casanare,Támara
85410,Casanare,Tauramena
85430,Casanare,Trinidad
85440,Casanare,Villanueva
99001,Vichada,Puerto Carreño
99524,Vichada,La Primavera
99624,Vichada,Santa Rosalía
99773,Vichada,Cumaribo